Parroquia,provincia,Cantidad
guayquichuma,loja,369
boyaca,manabi,369
el altar,chimborazo,368
san pablo de tenta,loja,368
mercadillo,loja,367
san jose de poalo,tungurahua,360
turupamba,canar,359
alto tambo (cab. en guadual),esmeraldas,358
union milagrena,orellana,358
carondelet,esmeraldas,354
zurmi,zamora chinchipe,352
marcos espinel (chacata),tungurahua,351
puerto libre,sucumbios,350
la paz,zamora chinchipe,346
12 de diciembre (cab.en achiotes),loja,346
pindilig,canar,344
chirijos,manabi,344
arcapamba,el oro,344
jerusalen,canar,337
ilapo,chimborazo,334
hatun sumaku,napo,332
el ingenio,loja,330
chito,zamora chinchipe,330
quinara,loja,329
pano,napo,329
nueva tarqui,morona santiago,328
el paraiso de celen,loja,327
sinsao,el oro,326
chupianza,morona santiago,324
barraganete,manabi,318
garcia moreno,orellana,314
santa rufina,loja,309
tomebamba,azuay,308
arquitecto sixto duran ballen,manabi,306
isinlivi,cotopaxi,304
julcuy,manabi,304
salati,el oro,303
san rafael,carchi,303
san sebastian de yuluc,loja,301
cuyabeno,sucumbios,301
san martin de puzhio,azuay,300
ventura,canar,299
bolivar,esmeraldas,297
el rosario,loja,296
timbire,esmeraldas,296
larama,loja,296
la merced de buenos aires,imbabura,293
chitan de navarrete,carchi,291
"la bonita, cabecera cantonal",sucumbios,291
uzhcurrumi,el oro,290
pioter,carchi,288
lauro guerrero,loja,287
fernandez salvador,carchi,285
san rafael de sharug,azuay,284
san jose de payamino,orellana,282
rumipamba,pichincha,279
san antonio de qumbe (cumbe),loja,277
america,manabi,275
angamarca,cotopaxi,272
ciano,loja,267
cochapamba,cotopaxi,266
santa rita,esmeraldas,266
galera,esmeraldas,265
guel,azuay,264
tuutinentza,morona santiago,264
lligua,tungurahua,260
el limo (mariana de jesus),loja,259
cruzpamba (cab. en carlos bustamante),loja,259
la sofia,sucumbios,254
pomona,pastaza,251
puela,chimborazo,247
telimbela,bolivar,246
san jose,el oro,245
san luis de el acho (cab. en el acho),morona santiago,244
buenavista,loja,243
san vicente de huaticocha,orellana,242
san jose del chazo,chimborazo,241
lluzhapa,loja,239
san gerardo,azuay,237
ines arango (cab. en western),orellana,237
la bocana,el oro,236
el triunfo,tungurahua,235
milagros,loja,233
san roque (ambrosio maldonado),el oro,232
sanguillin,loja,230
regulo de mora,bolivar,228
santa susana de chiviaza (cab. en chiviaza),morona santiago,228
juan montalvo (san ignacio de quil),carchi,228
san antonio,canar,227
membrillo,manabi,227
pompeya,orellana,226
zuna (zunac),morona santiago,223
utuana,loja,222
santa fe de galan,chimborazo,221
luis galarza orellana (cab.en delegsol),azuay,220
cononaco,orellana,218
principal,azuay,216
orianga,loja,215
atahualpa (habaspamba),pichincha,213
el rosario,morona santiago,212
salima,esmeraldas,212
chaquinal,loja,209
tomas de berlanga (santo tomas),galapagos,207
san francisco del vergel,zamora chinchipe,201
guanazan,el oro,197
chuga,imbabura,196
rumipamba,orellana,195
jimbilla,loja,193
6 de julio de cuellaje (cab. en cuellaje),imbabura,192
vicentino,loja,191
cangonama,loja,188
piedras,el oro,188
10 de agosto,sucumbios,186
salvias,el oro,185
sarayacu,pastaza,184
selva alegre,esmeraldas,183
sardinas,napo,183
santiago de pananza,morona santiago,179
el tablon,loja,179
cosanga,napo,179
taday,canar,179
el paraiso,el oro,176
tacamoros,loja,173
zhaglli (shaglli),azuay,170
el arenal,loja,168
chavezpamba,pichincha,166
el porvenir del carmen,zamora chinchipe,164
chaucha,azuay,162
rivera,canar,161
la providencia,chimborazo,159
ramon campana,cotopaxi,158
san antonio,loja,158
curtincapa,el oro,157
chumblin,azuay,155
bilbao (cab.en quilluyacu),chimborazo,154
compud,chimborazo,153
sumaypamba,loja,152
fundochamba,loja,151
la tingue,loja,150
yaupi,morona santiago,147
mataje (cab. en santander),esmeraldas,145
anchayacu,esmeraldas,145
amaluza,azuay,144
san pablo (cab. en pueblo nuevo),manabi,144
amarillos,loja,141
la victoria,loja,140
abanin,el oro,140
telembi,esmeraldas,139
selva alegre (cab.en san miguel de pamplona),imbabura,137
morales,el oro,135
nuevo paraiso,zamora chinchipe,135
coronel carlos concha torres (cab.en huele),esmeraldas,135
guarainag,azuay,132
el goaltal,carchi,129
pistishi (nariz del diablo),chimborazo,126
nuevo quito,zamora chinchipe,126
el airo,loja,123
mariano acosta,imbabura,123
teninete maximiliano rodriguez loaiza,loja,120
alshi (cab. en 9 de octubre),morona santiago,119
copal,morona santiago,115
"nuevo rocafuerte, cabecera cantonal",orellana,114
milagro,el oro,108
imbana (la victoria de imbana),zamora chinchipe,107
guanando,chimborazo,107
san miguel de conchay,morona santiago,105
bellavista,zamora chinchipe,104
pucapamba,zamora chinchipe,100
la libertad,el oro,98
baquerizo moreno,tungurahua,97
la candelaria,chimborazo,96
san carlos de limon,morona santiago,96
zambi,loja,96
amazonas (rosario de cuyes),morona santiago,95
santa rosa de sucumbios,sucumbios,93
pumpuentsa,morona santiago,92
chumunde,esmeraldas,92
la chonta,zamora chinchipe,90
plaza gutierrez (calvario),imbabura,89
nueva fatima,loja,88
san miguel de cuyes,morona santiago,86
alejandro labaka,orellana,86
san juan de cerro azul,el oro,85
el ingenio,el oro,84
chiguinda,morona santiago,84
sevilla,chimborazo,83
palo quemado,cotopaxi,78
cani,chimborazo,78
san javier de cachavi (cab. en san javier),esmeraldas,75
tambillo,esmeraldas,73
mangahurco,loja,72
san francisco de novillo (cab. en novillo),manabi,70
san francisco de sigsipamba,imbabura,69
pumallacta,chimborazo,67
la canela,zamora chinchipe,64
limones,loja,64
valparaiso,chimborazo,61
bolaspamba,loja,57
pan de azucar,morona santiago,54
linares,napo,54
panacocha,sucumbios,53
rio tigre,pastaza,50
san andres,zamora chinchipe,50
pinllopata,cotopaxi,48
pataqui,imbabura,48
tutupali,zamora chinchipe,46
bermejos,morona santiago,44
piartal,carchi,41
vacas galindo (el churo) (cab.en san miguel alto),imbabura,40
oyacachi,napo,37
san jacinto de wakambeis,morona santiago,35
el chorro,zamora chinchipe,35
el playon de san francisco,sucumbios,35
cazaderos,loja,34
santa barbara,sucumbios,33
huasaga (cab. en wampuik),morona santiago,31
san isidro,el oro,31
santa elena,sucumbios,31
quingue (olmedo perdomo franco),esmeraldas,29
el eden,orellana,29
puerto rodriguez,sucumbios,22
atahualpa (cab. en camarones),esmeraldas,20
sumaco,napo,19
pampanal de bolivar,esmeraldas,18
rosa florida,sucumbios,18
yasuni,orellana,16
capitan augusto rivadeneyra,orellana,16
san francisco de onzole,esmeraldas,16
ancon (pichangal) (cab. en palma real),esmeraldas,14
san jose de cayapas,esmeraldas,14
puerto bolivar (puerto montufar),sucumbios,13
luis vargas torres (cab. en playa de oro),esmeraldas,12
isla santa maria (floreana) (cab. en pto. velasc,galapagos,11
"guayaquil, cabecera cantonal y capital provincial",morona santiago,10
rio corrientes,pastaza,10
5 de junio (cab. en uimbi),esmeraldas,10
santo domingo de onzole,esmeraldas,9
tobar donoso (la bocana de camumbi),carchi,9
santa maria de huiririma,orellana,2
rocafuerte,manabi,1
