Parroquia,provincia,Cantidad
rumipamba,tungurahua,852
san pedro de suma,manabi,851
luis cordero vega,azuay,850
changaimina (la libertad),loja,850
campozano (la palma de pajan),manabi,849
san francisco de sageo,canar,843
san vicente de pusir,carchi,840
majua,esmeraldas,838
santa marianita de jesus,morona santiago,834
"san fernando, cabecera cantonal",azuay,830
mariscal sucre,carchi,829
el triunfo,pastaza,828
maldonado,esmeraldas,826
remigio crespo toral (gulag),azuay,823
chugchillan,cotopaxi,821
macuma,morona santiago,820
panguintza,zamora chinchipe,813
sabiango (la capilla),loja,812
16 de agosto,morona santiago,807
san jose de guayusa,orellana,790
ludo,azuay,787
el rosario (rumichaca),tungurahua,786
gualel,loja,783
pozul (san juan de pozul),loja,777
el guisme,zamora chinchipe,772
san pablo de ushpayacu,napo,771
chicana,zamora chinchipe,766
patuca,morona santiago,765
el reventador,sucumbios,762
moromoro (cab. en el vado),el oro,761
perucho,pichincha,761
pablo arenas,imbabura,759
pueblo nuevo,manabi,758
san sebastian,bolivar,758
el chical,carchi,757
chiquicha (cab. en chiquicha grande),tungurahua,751
la union,manabi,741
san vicente,bolivar,740
yunganza (cab. en el rosario),morona santiago,726
san sebastian,manabi,724
santiago,loja,719
gima,azuay,715
san antonio de bayushig,chimborazo,714
cuchil (cutchil),azuay,710
llagos,chimborazo,707
susudel,azuay,704
guangaje,cotopaxi,702
enokanqui,orellana,698
tres de noviembre,orellana,697
"el pan, cabecera cantonal",azuay,696
chura (chancama) (cab. en el yerbero),esmeraldas,692
sabanilla,loja,682
teniente hugo ortiz,pastaza,682
garcia moreno (llurimagua),imbabura,679
multitud,chimborazo,675
eloy alfaro,manabi,675
yanayacu - mochapata (cab. en yanayacu),tungurahua,673
chantilin,cotopaxi,672
cahuasqui,imbabura,671
carcabon,el oro,670
emilio maria teran (rumipamba),tungurahua,659
tundayme,zamora chinchipe,658
chibunga,manabi,657
tabiazo,esmeraldas,657
zapallo,manabi,647
gualleturo,canar,639
pilalo,cotopaxi,627
triunfo-dorado,zamora chinchipe,626
san francisco de chinimbimi,morona santiago,626
el ideal,morona santiago,613
santa rosa,napo,610
las nieves (chaya),azuay,608
el lucero,loja,608
honorato vasquez (cab. en vasquez),manabi,606
apuela,imbabura,604
chontaduro,esmeraldas,600
indanza,morona santiago,595
san francisco de borja (virgilio davila),napo,590
puerto murialdo,orellana,584
ayapamba,el oro,582
cochapata,azuay,564
pinguili,tungurahua,563
zhidmad,azuay,562
