Año_Mes,provincia,Cantidad
2022-07,galapagos,1014
2022-07,guayas,75151
2022-07,imbabura,10985
2022-07,loja,8554
2022-07,los rios,13889
2022-07,manabi,16268
2022-07,morona santiago,3419
2022-07,napo,1709
2022-07,orellana,2784
2022-07,pastaza,2437
2022-07,pichincha,74341
2022-07,santa elena,4403
2022-07,santo domingo de los tsachilas,10506
2022-07,sucumbios,3846
2022-07,tungurahua,12981
2022-07,zamora chinchipe,1330
2022-08,azuay,16495
2022-08,bolivar,3318
2022-08,canar,3449
2022-08,carchi,3409
2022-08,chimborazo,8223
2022-08,cotopaxi,5612
2022-08,el oro,14399
2022-08,esmeraldas,8570
2022-08,galapagos,995
2022-08,guayas,70918
2022-08,imbabura,10252
2022-08,loja,7825
2022-08,los rios,13648
2022-08,manabi,16729
2022-08,morona santiago,3384
2022-08,napo,1717
2022-08,orellana,2868
2022-08,pastaza,2567
2022-08,pichincha,70662
2022-08,santa elena,4512
2022-08,santo domingo de los tsachilas,10066
2022-08,sucumbios,3837
2022-08,tungurahua,11659
2022-08,zamora chinchipe,1237
2022-09,azuay,17263
2022-09,bolivar,2397
2022-09,canar,3350
2022-09,carchi,3549
2022-09,chimborazo,8677
2022-09,cotopaxi,6470
2022-09,el oro,13671
2022-09,esmeraldas,7784
2022-09,galapagos,1046
2022-09,guayas,66271
2022-09,imbabura,10579
2022-09,loja,7866
2022-09,los rios,13653
2022-09,manabi,15248
2022-09,morona santiago,3229
2022-09,napo,1620
2022-09,orellana,3389
2022-09,pastaza,2515
2022-09,pichincha,74213
2022-09,santa elena,4232
2022-09,santo domingo de los tsachilas,9873
2022-09,sucumbios,3998
2022-09,tungurahua,11750
2022-09,zamora chinchipe,1392
2022-10,azuay,18601
2022-10,bolivar,2503
2022-10,canar,3457
2022-10,carchi,3797
2022-10,chimborazo,9440
2022-10,cotopaxi,6382
2022-10,el oro,14111
2022-10,esmeraldas,7209
2022-10,galapagos,1019
2022-10,guayas,67577
2022-10,imbabura,10825
2022-10,loja,8819
2022-10,los rios,14458
2022-10,manabi,16160
2022-10,morona santiago,3538
2022-10,napo,1889
2022-10,orellana,3546
2022-10,pastaza,2633
2022-10,pichincha,77432
2022-10,santa elena,4399
2022-10,santo domingo de los tsachilas,10218
2022-10,sucumbios,4040
2022-10,tungurahua,12987
2022-10,zamora chinchipe,1607
2022-11,azuay,16953
2022-11,bolivar,2300
2022-11,canar,3082
2022-11,carchi,3521
2022-11,chimborazo,8779
2022-11,cotopaxi,6199
2022-11,el oro,13111
2022-11,esmeraldas,6926
2022-11,galapagos,891
2022-11,guayas,64375
2022-11,imbabura,10180
2022-11,loja,7982
2022-11,los rios,13193
2022-11,manabi,15240
2022-11,morona santiago,3272
2022-11,napo,1735
2022-11,orellana,3528
2022-11,pastaza,2527
2022-11,pichincha,71838
2022-11,santa elena,4276
2022-11,santo domingo de los tsachilas,9950
2022-11,sucumbios,3837
2022-11,tungurahua,12145
2022-11,zamora chinchipe,1355
2022-12,azuay,18271
2022-12,bolivar,2265
2022-12,canar,3287
2022-12,carchi,3604
2022-12,chimborazo,9264
2022-12,cotopaxi,6519
2022-12,el oro,14227
2022-12,esmeraldas,6960
2022-12,galapagos,1059
2022-12,guayas,65970
2022-12,imbabura,11014
2022-12,loja,8671
2022-12,los rios,13581
2022-12,manabi,16025
2022-12,morona santiago,3662
2022-12,napo,1755
2022-12,orellana,3312
2022-12,pastaza,2454
2022-12,pichincha,77339
2022-12,santa elena,4262
2022-12,santo domingo de los tsachilas,10631
2022-12,sucumbios,4057
2022-12,tungurahua,12603
2022-12,zamora chinchipe,1485
2023-01,azuay,15997
2023-01,bolivar,2226
2023-01,canar,3145
2023-01,carchi,3518
2023-01,chimborazo,8550
2023-01,cotopaxi,6059
2023-01,el oro,13759
2023-01,esmeraldas,6752
2023-01,galapagos,984
2023-01,guayas,63633
2023-01,imbabura,10415
2023-01,loja,8146
2023-01,los rios,13089
2023-01,manabi,15869
2023-01,morona santiago,3350
2023-01,napo,1692
2023-01,orellana,3295
2023-01,pastaza,2375
2023-01,pichincha,71265
2023-01,santa elena,4669
2023-01,santo domingo de los tsachilas,10312
2023-01,sucumbios,4033
2023-01,tungurahua,11924
2023-01,zamora chinchipe,1292
2023-02,azuay,15231
2023-02,bolivar,2615
2023-02,canar,2910
2023-02,carchi,3412
2023-02,chimborazo,8456
2023-02,cotopaxi,5714
2023-02,el oro,12681
2023-02,esmeraldas,6354
2023-02,galapagos,832
2023-02,guayas,57757
2023-02,imbabura,9817
2023-02,loja,7922
2023-02,los rios,12142
2023-02,manabi,15256
2023-02,morona santiago,3541
2023-02,napo,1598
2023-02,orellana,3001
2023-02,pastaza,2145
2023-02,pichincha,67831
2023-02,santa elena,4448
2023-02,santo domingo de los tsachilas,9514
2023-02,sucumbios,3709
2023-02,tungurahua,12219
2023-02,zamora chinchipe,1418
2023-03,azuay,16666
2023-03,bolivar,2028
2023-03,canar,2895
2023-03,carchi,3625
2023-03,chimborazo,8506
2023-03,cotopaxi,6304
2023-03,el oro,14326
2023-03,esmeraldas,6128
2023-03,galapagos,957
2023-03,guayas,61843
2023-03,imbabura,10568
2023-03,loja,8512
2023-03,los rios,12985
2023-03,manabi,15715
2023-03,morona santiago,3566
2023-03,napo,1592
2023-03,orellana,3505
2023-03,pastaza,2438
2023-03,pichincha,74548
2023-03,santa elena,4433
2023-03,santo domingo de los tsachilas,10300
2023-03,sucumbios,4080
2023-03,tungurahua,12432
2023-03,zamora chinchipe,1451
2023-04,azuay,17033
2023-04,bolivar,2112
2023-04,canar,2984
2023-04,carchi,3537
2023-04,chimborazo,8956
2023-04,cotopaxi,6252
2023-04,el oro,13391
2023-04,esmeraldas,5589
2023-04,galapagos,882
2023-04,guayas,59163
2023-04,imbabura,10317
2023-04,loja,8476
2023-04,los rios,12857
2023-04,manabi,15251
2023-04,morona santiago,3644
2023-04,napo,1673
2023-04,orellana,3346
2023-04,pastaza,2479
2023-04,pichincha,77913
2023-04,santa elena,4696
2023-04,santo domingo de los tsachilas,10705
2023-04,sucumbios,4115
2023-04,tungurahua,12542
2023-04,zamora chinchipe,1411
2023-05,azuay,16354
2023-05,bolivar,2355
2023-05,canar,2860
2023-05,carchi,3632
2023-05,chimborazo,9218
2023-05,cotopaxi,6239
2023-05,el oro,13297
2023-05,esmeraldas,5767
2023-05,galapagos,892
2023-05,guayas,63012
2023-05,imbabura,10358
2023-05,loja,8337
2023-05,los rios,13462
2023-05,manabi,15033
2023-05,morona santiago,3707
2023-05,napo,1578
2023-05,orellana,3455
2023-05,pastaza,2359
2023-05,pichincha,76057
2023-05,santa elena,4426
2023-05,santo domingo de los tsachilas,10848
2023-05,sucumbios,4292
2023-05,tungurahua,12483
2023-05,zamora chinchipe,1253
2023-06,azuay,16343
2023-06,bolivar,2304
2023-06,canar,2797
